Threshold,Precision(all rand),Recall(all rand),Sum of P and R,,,,
0.4,0.9064,0.2697,1.1761,,,,
0.5,0.8336,0.4892,1.3228,,,,Highest
0.6,0.7552,0.7334,1.4886,,,,1.61522530620751
0.7,0.6834,0.918,1.6014,,,,
0.8,0.6199,0.9896,1.6095,,,,
0.9,0.5695,0.9998,1.5693,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0.9064,0.2697,1.17618878621611,,,,
,0.8336,0.4892,1.32277810768232,,,,
,0.7552,0.7334,1.48865399149973,,,,
,0.6834,0.918,1.60140638606198,,,,
,0.6199,0.9896,1.60947669455291,,,,
,0.5695,0.9998,1.56930439144316,,,,
