Threshold,Precision(all rand),,,,
1.01,0.513861062508412,0.5139,,,
1.11,0.558430098324352,0.5584,,,
1.21,0.586737776386879,0.5867,,,
1.31,0.604460117149065,0.6045,,,
1.41,0.615906527888188,0.6159,,,
1.5,0.622431661430686,0.6224,,,
,,,,,
,,,,,
Threshold,Precision(all rand),Precision(col1 rand),Precision(col2 rand),Precision(col3 rand),Precision(col4 rand)
1.01,0.5677,0.546,0.5666,0.5666,0.5139
1.11,0.7743,0.7121,0.7725,0.7701,0.5584
1.21,0.8637,0.8021,0.8626,0.8586,0.5867
1.31,0.9069,0.8524,0.9064,0.9019,0.6045
1.41,0.9317,0.8841,0.9317,0.9272,0.6159
1.5,0.9463,0.904,0.9466,0.9423,0.6224
